folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,120,1,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,121,2,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,122,3,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,123,4,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,124,5,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,125,6,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,126,7,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,127,8,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,128,9,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,2,129,10,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,130,1,0,0,0,0,0,0,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,131,2,0,0,0,0,1,0.639999999999986,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,132,3,0,0,0,0,0,0.699999999999989,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,133,4,0,0,0,0,2,0.579999999999984,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,134,5,0,0,0,0,0,0.800000000000011,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,135,6,0,0,0,0,1,0.280000000000001,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,136,7,0,0,0,0,1,0.900000000000006,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,137,8,0,0,0,0,0,1,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,138,9,0,0,0,0,1,0.639999999999986,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,8,139,10,0,0,0,0,0,0.259999999999991,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,11,140,1,0,0,0,0,1,0.560000000000002,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,11,141,2,0,0,0,0,0,1,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,11,142,3,0,0,0,0,0,1,0,0
ReAcquisition_Stage3_Day14,CIReAcquisitionStage3Day143BD,CIReAcquisitionStage3Day143BD_Rat8.csv,8_____,35,9,1,C,Marios,199,1,11,143,4,0,0,0,0,0,1,0,0
