folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,60,1,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,61,2,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,62,3,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,63,4,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,64,5,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,65,6,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,66,7,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,67,8,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,68,9,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4A,CRFNovelLightAcquisitionDay4A_Rat34.csv,34____,77,5,1,C,Marios,333,1,2,69,10,0,0,0,0,0,0,0,0
