folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,250,1,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,251,2,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,252,3,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,253,4,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,254,5,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,255,6,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,256,7,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,257,8,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,258,9,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,2,259,10,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,6,260,1,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,6,261,2,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,6,262,3,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,6,263,4,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,6,264,5,0,0,0,0,0,0,0,0
Acquisition_Day1,CRFAcquisitionDDay1,CRFAcquisitionDDay1_Rat12.csv,12____,14,10,1,C,Marios,51,1,6,265,6,0,0,0,0,0,0,0,0
