Subject,1Lever_DevaluedLever?,Minute Counter,lever Presses,MagEntries,MagDuration,Devaluation
17,Devalued,1,NA,3,88,Devalued
17,Devalued,2,NA,1,189,Devalued
17,Devalued,3,NA,0.5,57.5,Devalued
17,Devalued,4,NA,0.5,155,Devalued
17,Devalued,5,NA,0.5,195.5,Devalued
17,Devalued,6,NA,1.5,53,Devalued
17,Devalued,7,NA,1,78,Devalued
17,Devalued,8,NA,1,122.49999999999999,Devalued
17,Non-Devalued,1,NA,3,166,Non-Devalued
17,Non-Devalued,2,NA,0,0,Non-Devalued
17,Non-Devalued,3,NA,0.5,116.5,Non-Devalued
17,Non-Devalued,4,NA,0.5,110,Non-Devalued
17,Non-Devalued,5,NA,1,2467.5,Non-Devalued
17,Non-Devalued,6,NA,0.5,54.5,Non-Devalued
17,Non-Devalued,7,NA,1,149,Non-Devalued
17,Non-Devalued,8,NA,0,0,Non-Devalued
18,Devalued,1,NA,4,142.5,Devalued
18,Devalued,2,NA,3.5,344.5,Devalued
18,Devalued,3,NA,1,29,Devalued
18,Devalued,4,NA,2,178,Devalued
18,Devalued,5,NA,2.5,204.5,Devalued
18,Devalued,6,NA,2,195.5,Devalued
18,Devalued,7,NA,0,0,Devalued
18,Devalued,8,NA,0.5,26,Devalued
18,Non-Devalued,1,NA,7.5,382.5,Non-Devalued
18,Non-Devalued,2,NA,4,243,Non-Devalued
18,Non-Devalued,3,NA,2,109.5,Non-Devalued
18,Non-Devalued,4,NA,2.5,131,Non-Devalued
18,Non-Devalued,5,NA,7,352.5,Non-Devalued
18,Non-Devalued,6,NA,2,161,Non-Devalued
18,Non-Devalued,7,NA,0,0,Non-Devalued
18,Non-Devalued,8,NA,1,295,Non-Devalued
19,Devalued,1,NA,1,104,Devalued
19,Devalued,2,NA,0,0,Devalued
19,Devalued,3,NA,2,134.5,Devalued
19,Devalued,4,NA,0,0,Devalued
19,Devalued,5,NA,0.5,2,Devalued
19,Devalued,6,NA,0.5,33.5,Devalued
19,Devalued,7,NA,0,0,Devalued
19,Devalued,8,NA,0,0,Devalued
19,Non-Devalued,1,NA,3.5,242.50000000000003,Non-Devalued
19,Non-Devalued,2,NA,0,0,Non-Devalued
19,Non-Devalued,3,NA,1.5,45.5,Non-Devalued
19,Non-Devalued,4,NA,0,0,Non-Devalued
19,Non-Devalued,5,NA,0,0,Non-Devalued
19,Non-Devalued,6,NA,0,0,Non-Devalued
19,Non-Devalued,7,NA,0,0,Non-Devalued
19,Non-Devalued,8,NA,0,0,Non-Devalued
20,Devalued,1,NA,5.5,105,Devalued
20,Devalued,2,NA,2,133,Devalued
20,Devalued,3,NA,0.5,36,Devalued
20,Devalued,4,NA,0.5,137.5,Devalued
