folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,90,1,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,91,2,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,92,3,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,93,4,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,94,5,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,95,6,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,96,7,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,97,8,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,98,9,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,2,99,10,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,100,1,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,101,2,0,0,0,0,1,0.180000000000007,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,102,3,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,103,4,0,0,0,0,1,0.959999999999994,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,104,5,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,105,6,0,0,0,0,1,0.599999999999994,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,106,7,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,107,8,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,108,9,0,0,0,0,1,0.5,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,4,109,10,0,0,0,0,1,0.780000000000001,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,110,1,0,0,0,0,1,0.859999999999999,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,111,2,0,0,0,0,0,1,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,112,3,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,113,4,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,114,5,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,115,6,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,116,7,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,117,8,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,118,9,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,1,7,119,10,0,0,0,0,0,0,0,0
Acquisition_Day12,CRFAcquisitionDay12C,CRFAcquisitionDay12C_Rat36.csv,36____,13,6,1,C,Marsos,163,2,2,386,1,0,0,0,0,0,0,0,0
